,ROCAUC,F値,Accuracy,,,ROCAUC,F値,Accuracy,,,ROCAUC,F値,Accuracy,,,ROCAUC,F値,Accuracy,,,,,,,,,,,,,
bottle,0.845,0.578,0.771,,carpet,0.424,0.324,0.324,,bottle,0.851,0.588,0.663,,carpet,0.448,0.341,0.206,,,,,,,,,,,,,
cable,0.697,0.654,0.607,,grid,0.564,0.426,0.308,,cable,0.694,0.659,0.593,,grid,0.44,0.424,0.269,,,,,,,,,,,,,
capsule,0.531,0.298,0.356,,leather,0.431,0,0.629,,capsule,0.532,0.297,0.212,,leather,0.443,0,0.556,,,,,,,,,,,,,
hazelnut,0.7,0.619,0.564,,tile,0.73,0.5,0.47,,hazelnut,0.702,0.584,0.482,,tile,0.741,0.463,0.385,,,,,,,,,,,,,
metal_nut,0.403,0.261,0.261,,wood,0.928,0.543,0.595,,metal_nut,0.459,0.303,0.2,,wood,0.921,0.463,0.443,,,,,,,,,,,,,
pill,0.741,0.378,0.527,,,,,,,pill,0.743,0.356,0.437,,,,,,,,,,,,,,,,,,
screw,0.057,0.126,0.131,,avg,0.615,0.358,0.465,,screw,0.062,0.195,0.125,,avg,0.598,0.338,0.372,,,,,,,,,,,,,
toothbrush,0.872,0.69,0.786,,,,,,,toothbrush,0.883,0.733,0.81,,,,,,,,,,,,,,,,,,
transistor,0.708,0.779,0.71,,,,,,,transistor,0.709,0.8,0.71,,,,,,,,,,,,,,,,,,
zipper,0.568,0.342,0.364,,,,,,,zipper,0.521,0.353,0.272,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avg,0.612,0.472,0.508,,,,,,,avg,0.616,0.487,0.45,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avg_all,0.613,0.434,0.493,,,,,,,avg_all,0.61,0.437,0.424,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVDDGAN,,,,,,,,,,SVDD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ROCAUC,F値,Accuracy,,,,ROCAUC,F値,Accuracy,,,ROCAUC,F値,Accuracy,,,ROCAUC,F値,Accuracy,,,,,,,,
,,,,bottle,0.845,0.578,0.771,,,bottle,0.847,0.576,0.699,,bottle,0.828,0.476,0.47,,bottle,0.991,0.8,0.916,,,,,,,,
,,,,cable,0.697,0.654,0.607,,,cable,0.686,0.638,0.579,,cable,0.687,0.647,0.564,,cable,0.931,0.78,0.843,,,,,,,,
,,,,capsule,0.531,0.298,0.356,,,capsule,0.525,0.303,0.235,,capsule,0.499,0.292,0.227,,capsule,0.75,0.421,0.583,,,,,,,,
,,,,hazelnut,0.7,0.619,0.564,,,hazelnut,0.775,0.576,0.464,,hazelnut,0.827,0.571,0.455,,hazelnut,0.913,0.392,0.718,,,,,,,,
,,,,metal_nut,0.403,0.261,0.261,,,metal_nut,0.274,0.321,0.191,,metal_nut,0.376,0.321,0.191,,metal_nut,0.936,0.651,0.87,,,,,,,,
,,,,pill,0.741,0.378,0.527,,,pill,0.744,0.35,0.443,,pill,0.659,0.278,0.192,,pill,0.712,0.364,0.581,,,,,,,,
,,,,screw,0.057,0.126,0.131,,,screw,0.997,0.412,0.269,,screw,0.059,0.154,0.106,,screw,0.853,0.5,0.813,,,,,,,,
,,,,toothbrush,0.872,0.69,0.786,,,toothbrush,0.719,0.667,0.714,,toothbrush,0.717,0.55,0.571,,toothbrush,0.881,0.526,0.786,,,,,,,,
,,,,transistor,0.708,0.779,0.71,,,transistor,0.707,0.803,0.73,,transistor,0.688,0.776,0.66,,transistor,0.891,0.777,0.77,,,,,,,,
,,,,zipper,0.568,0.342,0.364,,,zipper,0.523,0.347,0.252,,zipper,0.571,0.341,0.232,,zipper,0.867,0.577,0.728,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,avg,0.612,0.472,0.508,,,avg,0.68,0.499,0.457,,avg,0.591,0.441,0.367,,avg,0.873,0.579,0.761,,,,,,,,
,,,,途中で学習を停止した異常データを用いる,,,,,,マスク画像を基にGANで異常データ生成,,,,,ただのマスク画像を異常データとした,,,,,CNN+SVDD(異常データ）,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ROCAUC,F値,Accuracy,,ROCAUC,F値,Accuracy
,,,,,,ROCAUC,F値,Accuracy,,,ROCAUC,F値,Accuracy,,,ROCAUC,F値,Accuracy,,,ROCAUC,F値,Accuracy,,疑似異常データ（GAN),,,,CNN＋SVDD,,
,,,,,bottle,0.991,0.8,0.916,,bottle,0.992,0.765,0.904,,bottle,0.989,0.923,0.964,,bottle,0.992,0.765,0.904,,0.990,0.923,0.964,bottle,0.989,0.923,0.964
SVDDGAN,,,,,cable,0.931,0.78,0.843,,cable,0.931,0.78,0.843,,cable,0.896,0.754,0.757,,cable,0.931,0.78,0.843,,0.931,0.780,0.843,cable,0.896,0.754,0.757
,,,,,capsule,0.75,0.421,0.583,,capsule,0.753,0.391,0.576,,capsule,0.714,0.356,0.424,,capsule,0.753,0.391,0.576,,0.741,0.404,0.553,capsule,0.714,0.356,0.424
,,,,,hazelnut,0.913,0.392,0.718,,carpet,0.904,0.586,0.824,,carpet,0.876,0.533,0.794,,carpet,0.868,0.593,0.838,,,,,carpet,,,
,,,,,metal_nut,0.936,0.651,0.87,,grid,0.538,0.393,0.564,,grid,0.49,0.400,0.346,,grid,0.538,0.393,0.564,,,,,grid,,,
,,,,,pill,0.712,0.364,0.581,,hazelnut,0.913,0.392,0.718,,hazelnut,0.799,0.621,0.6,,hazelnut,0.913,0.392,0.718,,,,,hazelnut,,,
,,,,,screw,0.853,0.5,0.813,,leather,0.988,0.731,0.887,,leather,0.989,0.828,0.919,,leather,0.99,0.731,0.887,,,,,leather,,,
,,,,,toothbrush,0.881,0.526,0.786,,metal_nut,0.935,0.651,0.87,,metal_nut,0.933,0.587,0.73,,metal_nut,0.935,0.651,0.87,,,,,metal_nut,,,
,,,,,transistor,0.891,0.777,0.77,,pill,0.712,0.367,0.587,,pill,0.708,0.289,0.323,,pill,,,,,0.718,0.360,0.575,pill,0.708,0.289,0.323
,,,,,zipper,0.867,0.577,0.728,,screw,0.853,0.5,0.813,,screw,0.369,0.359,0.263,,screw,,,,,0.853,0.500,0.813,screw,0.369,0.359,0.263
,,,,,,,,,,tile,0.97,0.877,0.923,,tile,0.94,0.805,0.863,,tile,,,,,0.957,0.838,0.897,tile,0.94,0.805,0.863
,,,,,avg,0.873,0.579,0.761,,toothbrush,0.881,0.526,0.786,,toothbrush,0.819,0.645,0.738,,toothbrush,,,,,0.881,0.526,0.786,toothbrush,0.819,0.645,0.738
,,,,,CNN+SVDD(異常データ）,,,,,transistor,0.892,0.765,0.76,,transistor,0.839,0.849,0.79,,transistor,,,,,0.891,0.765,0.760,transistor,0.839,0.849,0.79
,,,,,,,,,,wood,0.996,0.882,0.949,,wood,0.975,0.857,0.924,,wood,,,,,0.992,0.919,0.962,wood,0.975,0.857,0.924
,,,,,,,,,,zipper,0.864,0.56,0.728,,zipper,0.831,0.484,0.576,,zipper,,,,,,,,zipper,,,
,,,,,,,,,,avg,0.875,0.611,0.782,,avg,0.811,0.619,0.667,,avg,0.865,0.587,0.775,,0.884,0.668,0.795,avg,0.805,0.649,0.672
,,,,,,,,,,マスク,,,,,CNN+SVDD,,,,,ノイズ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,疑似異常データ（VAE）,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0.990,0.923,0.964,bottle,0.989,0.923,0.964
,,,,,,ROCAUC,F値,Accuracy,,,,,,,,,,,,,,,,,0.931,0.780,0.843,cable,0.896,0.754,0.757
,,,,,bottle,0.851,0.588,0.663,,,,,,,,,,,,,,,,,0.741,0.404,0.553,capsule,0.714,0.356,0.424
,,,,,cable,0.694,0.659,0.593,,,,,,,,,,,,,,,,,0.875,0.552,0.809,carpet,0.876,0.533,0.794
,,,,,capsule,0.532,0.297,0.212,,,,,,,,,,,,,,,,,0.527,0.406,0.513,grid,0.490,0.400,0.346
,,,,,carpet,0.448,0.341,0.206,,,,,,,,,,,,,,,,,0.913,0.392,0.718,hazelnut,0.799,0.621,0.600
,,,,,grid,0.440,0.424,0.269,,,,,,,,,,,,,,,,,0.990,0.821,0.919,leather,0.989,0.828,0.919
,,,,,hazelnut,0.702,0.584,0.482,,,,,,,,,,,,,,,,,0.936,0.651,0.870,metal_nut,0.933,0.587,0.730
,,,,,leather,0.443,0.000,0.556,,,,,,,,,,,,,,,,,0.718,0.360,0.575,pill,0.708,0.289,0.323
,,,,,metal_nut,0.459,0.303,0.200,,,,,,,,,,,,,,,,,0.853,0.500,0.813,screw,0.369,0.359,0.263
,,,,,pill,0.743,0.356,0.437,,,,,,,,,,,,,,,,,0.957,0.838,0.897,tile,0.940,0.805,0.863
,,,,,screw,0.062,0.195,0.125,,,,,,,,,,,,,,,,,0.881,0.526,0.786,toothbrush,0.819,0.645,0.738
,,,,,tile,0.741,0.463,0.385,,,,,,,,,,,,,,,,,0.891,0.765,0.760,transistor,0.839,0.849,0.790
,,,,,toothbrush,0.883,0.733,0.810,,,,,,,,,,,,,,,,,0.992,0.919,0.962,wood,0.975,0.857,0.924
,,,,,transistor,0.709,0.800,0.710,,,,,,,,,,,,,,,,,0.867,0.577,0.728,zipper,0.831,0.484,0.576
,,,,,wood,0.921,0.463,0.443,,,,,,,,,,,,,,,,,0.871,0.628,0.781,avg,0.811,0.619,0.667
,,,,,zipper,0.521,0.353,0.272,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,avg,0.616,0.487,0.450,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,avg_all,0.61,0.437,0.424,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,SVDD,,,,,,,,,,,,,,,,,,,,,,,,,,
